"Material","Formula","thickness1","price1","thickness2","price2","thickness3","price3","thickness4","price4","thickness5","price5","thickness6","price6","thickness7","price7","thickness8","price8","thickness9","price9","thickness10","price10","thickness11","price11","thickness12","price12","thickness13","price13","thickness14","price14","thickness15","price15","thickness16","price16","thickness17","price17","thickness18","price18","thickness19","price19","thickness20","price20","thickness21","price21","thickness22","price22","thickness23","price23","thickness24","price24","thickness25","price25","thickness26","price26","thickness27","price27","thickness28","price28","thickness29","price29","thickness30","price30","thickness31","price31","thickness32","price32","thickness33","price33","thickness34","price34","thickness35","price35","thickness36","price36","thickness37","price37","thickness38","price38","thickness39","price39","thickness40","price40","thickness41","price41","thickness42","price42","thickness43","price43","thickness44","price44","thickness45","price45","thickness46","price46","thickness47","price47","thickness48","price48"
"Magnesium","Mg",0.002,490,0.003,452,0.005,416,0.01,366,0.0125,330,0.015,300,0.02,292,0.025,225,0.05,211,0.075,214,0.1,190,0.125,177,0.15,179,0.25,109,0.5,116,1,126,1.5,139,2,139,3,243,6,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Manganese","Mn",0.001,348,0.002,329,0.0025,316,0.003,304,0.004,285,0.005,284,0.006,276,0.007,275,0.008,267,0.009,266,0.01,264,0.0125,275,0.015,286,0.016,291,0.02,305,0.025,318,0.05,454,2,484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Molybdenum","Mo",0.001,389,0.002,299,0.0025,262,0.003,256,0.004,247,0.005,237,0.006,227,0.007,219,0.008,147,0.009,210,0.01,139,0.0125,117,0.015,98.5,0.02,89,0.025,97,0.03,98,0.04,88,0.05,101,0.0712,134,0.075,108,0.1,110,0.125,98,0.15,101,0.2,93.5,0.25,95.5,0.3,97,0.4,99,0.5,103,0.6,105,0.75,104,1,94,1.5,139,2,101,2.5,260,3,277,10,260,,,,,,,,,,,,,,,,,,,,,,,,
"Neodymium","Nd",0.025,269,0.005,624,0.1,240,0.4,249,0.5,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nickel","Ni",0.00025,229,0.0005,220,0.00075,218,0.001,209,0.002,201,0.0025,140,0.003,132,0.004,128,0.005,124,0.007,136,0.0075,80,0.008,136,0.009,135,0.01,82.5,0.0125,82,0.015,77.5,0.02,79,0.025,76,0.03,107,0.038,107,0.05,77,0.07,76.5,0.075,78.5,0.1,79.5,0.125,80,0.15,81.5,0.2,82.5,0.25,83,0.3,85.5,0.5,84.5,0.6,109,0.7,112,0.8,115,1,90.5,1.6,101,2,85,3,118,3.2,155,6.35,251,,,,,,,,,,,,,,,,,,
"Niobium","Nb",0.001,554,0.002,479,0.0025,281,0.003,275,0.004,257,0.005,202,0.006,236,0.007,229,0.0075,180,0.008,220,0.009,219,0.01,167,0.0125,144,0.02,142,0.025,114,0.05,107,0.06,102,0.075,105,0.1,107,0.125,104,0.15,107,0.2,92,0.2,155,0.25,94,0.25,95,0.3,95.5,0.4,117,0.5,102,0.75,107,1,113,1.5,125,2,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OFHCCopper","Cu",0.0005,278,0.00075,262,0.001,251,0.0015,258,0.002,242,0.0025,131,0.003,223,0.004,214,0.005,127,0.006,196,0.007,195,0.0076,105,0.0078,145,0.008,79,0.009,144,0.01,104,0.012,128,0.0125,86.5,0.013,129,0.014,131,0.015,96.5,0.0175,87,0.02,93,0.022,82,0.025,81,0.03,104,0.034,65.5,0.038,76,0.04,94,0.045,109,0.05,66,0.068,66,0.075,72,0.1,70,0.11,67,0.125,66.5,0.15,64.5,0.2,86,0.24,115,0.25,58,0.3,61,0.38,95.5,0.5,60,0.7,62,1,62.5,1.6,63,2,65,3.25,66.5
"Osmium","Os",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Palladium","Pd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Phosphorus","P",0.0005,320,0.00075,302,0.001,291,0.0015,344,0.002,338,0.0025,314,0.003,332,0.004,320,0.005,305,0.006,269,0.008,169,0.0125,200,0.02,211,0.025,212,0.03,225,0.047,259,0.075,176,0.1,136,0.125,148,0.25,351,0.5,202,0.6,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Platinum","Pt",0.0005,320,0.00075,302,0.001,291,0.00125,485,0.0015,358,0.002,285,0.0025,250,0.003,237,0.004,224,0.005,223,0.0075,174,0.01,174,0.0125,165,0.025,132,0.029,126,0.03,132,0.045,142,0.05,153,0.1,164,0.125,188,0.15,157,0.2,257,0.25,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Potassium","K",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mica","KAlSi3O8",0.012,135,0.016,107,0.02,101,0.025,117,0.05,110,0.1,113,0.15,112,0.19,285,0.2,199,0.25,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Praseodymium","Pr",0.005,435,0.01,380,0.015,323,0.025,275,0.1,227,0.25,250,0.5,260,1,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quartz-Fused","SiO2",0.25,136,0.5,120,1,117,2,147,2.5,589,3,149,6,265,6.35,342,16,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rhenium","Re",0.0125,601,0.025,112,0.03,112,0.04,119,0.05,113,0.1,396,0.125,412,0.15,445,0.2,475,0.25,554,0.5,773,1,486,2,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rhodium","Rh",0.00025,380,0.0005,383,0.00075,386,0.001,392,0.006,575,0.012,512,0.025,453,0.05,414,0.075,440,0.1,455,0.125,442,0.15,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rubidium","Rb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ruthenium","Ru",1,417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Samarium","Sm",0.005,704,0.025,307,0.1,241,0.2,217,0.25,305,0.5,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sapphire","Al2O3",0.1,312,0.25,116,0.3,242,0.5,144,0.635,205,1,144,2,188,3,198,4,220,6.35,243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Scandium","Sc",0.0125,567,0.025,416,0.1,447,0.3,458,0.55,489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
